trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
727,True,"{'a': 0.0, 'e': 0.0}",20,12,16.50811757524204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,True,"{'a': 0.0, 'e': 0.0}",20,6,25.332272553887783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,True,"{'a': 0.0, 'e': 0.0}",35,21,28.8489764226742,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,True,"{'a': 0.0, 'e': 0.0}",20,16,9.058150176200499,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,True,"{'a': 0.0, 'e': 0.0}",30,23,11.823569382248351,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,True,"{'a': 0.0, 'e': 0.0}",25,17,13.734810488401905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,True,"{'a': 0.0, 'e': 0.0}",20,7,23.995351789425015,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,True,"{'a': 0.0, 'e': 0.0}",20,10,21.38082362488678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,True,"{'a': 0.0, 'e': 0.0}",20,9,19.401575575005317,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,True,"{'a': 0.0, 'e': 0.0}",25,20,10.272343876065502,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,True,"{'a': 0.0, 'e': 0.0}",25,8,30.09956578206011,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,True,"{'a': 0.0, 'e': 0.0}",25,14,23.31925877015349,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,True,"{'a': 0.0, 'e': 0.0}",25,13,22.065012406953212,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,True,"{'a': 0.0, 'e': 0.0}",25,14,18.23250560788552,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
